account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,days_until_renewal,renewal_urgency,arr_tier,plan_tier_numeric,arr_plan_mismatch,in_renewal_window,api_calls_older_avg,api_calls_recent_avg,api_calls_pct_change,api_calls_total,api_calls_std,api_calls_min,api_calls_max,api_calls_last,api_calls_recent_slope,content_entries_created_older_avg,content_entries_created_recent_avg,content_entries_created_pct_change,content_entries_created_total,content_entries_created_std,content_entries_created_min,content_entries_created_max,content_entries_created_last,content_entries_created_recent_slope,active_users_older_avg,active_users_recent_avg,active_users_pct_change,active_users_total,active_users_std,active_users_min,active_users_max,active_users_last,active_users_recent_slope,workflows_triggered_older_avg,workflows_triggered_recent_avg,workflows_triggered_pct_change,workflows_triggered_total,workflows_triggered_std,workflows_triggered_min,workflows_triggered_max,workflows_triggered_last,workflows_triggered_recent_slope,api_calls_declining,content_creation_declining,active_users_declining,workflows_declining,api_calls_severe_decline,active_users_severe_decline,zero_api_calls_recent,zero_active_users_recent,zero_workflows_recent,workflow_abandoned,usage_health_score,declining_metrics_count,sdk_version_x,total_tickets,p1_tickets,p2_tickets,p3_tickets,p4_tickets,open_tickets,escalated_tickets,open_p1_tickets,open_escalated_critical,avg_resolution_hours,max_resolution_hours,recent_ticket_count,recent_p1_count,ticket_velocity_trend,has_deprecation_tickets,has_migration_tickets,has_blocking_tickets,has_recurring_tickets,support_health_score,no_tickets_flag,nps_score,nps_has_response,nps_has_comment,nps_category,nps_is_detractor,nps_is_passive,nps_is_promoter,nps_is_contradictory,nps_is_generic,nps_is_non_english,nps_comment_sentiment,nps_health_score,csm_has_notes,csm_note_count,csm_churn_signal_count,csm_expansion_signal_count,csm_competitor_count,csm_competitors_list,csm_action_items_count,csm_sentiment,csm_has_executive_involvement,csm_has_missed_meetings,csm_has_budget_concerns,csm_has_evaluation_signals,csm_has_compliance_blockers,csm_has_migration_issues,csm_health_score,sdk_version_y,sdk_risk_level,sdk_health_score,sdk_is_critical,sdk_is_high_risk,sdk_is_v3,conflict_count,has_conflicts,high_severity_conflicts,has_nps_contradiction,has_nps_csm_mismatch,has_csm_support_mismatch
1000,Acme Corp,17000.0,2026-05-25,Starter,Media & Publishing,Carlos Mendez,NA-West,40,approaching,small,1,False,True,4040.33,2473.67,-38.78,19542,876.36,2246,4703,2246,-217.0,42.0,23.33,-44.44,196,9.66,20,45,26,1.0,2.0,1.0,-50.0,9,0.5,1,2,1,0.0,3.67,2.0,-45.45,17,0.9,2,4,2,0.0,True,True,True,True,False,False,False,False,False,False,40,4,v3.2.0,7,2,3,2,0,2,1,1,2,60.3,87.3,4,0,0.33,False,False,True,False,45,False,6.0,True,True,detractor,True,False,False,False,False,False,,60,True,1,5,0,1,Hygraph,1,negative,True,False,False,True,False,False,0,v3.2.0,critical,0,True,True,True,0,False,0,False,False,False
1001,BrightPath Solutions,21000.0,2026-07-04,Starter,Travel & Hospitality,Sarah Chen,NA-East,80,upcoming,small,1,False,True,4592.67,2867.33,-37.57,22380,1045.23,2334,5413,2334,-679.0,42.67,30.0,-29.69,218,10.27,27,58,28,-3.5,2.0,1.33,-33.33,10,0.75,1,3,1,-0.5,3.67,2.33,-36.36,18,1.0,2,5,2,-0.5,True,True,True,True,False,False,False,False,False,False,40,4,v3.2.0,13,10,1,2,0,6,2,6,7,62.6,99.4,6,5,-0.33,True,True,True,True,0,False,8.0,True,True,passive,False,True,False,False,True,False,,60,True,1,3,0,0,,1,negative,True,True,True,True,False,False,0,v3.2.0,critical,0,True,True,True,1,True,1,False,True,False
1002,NovaTech Industries,29000.0,2026-05-19,Starter,Manufacturing,Sarah Chen,LATAM,34,approaching,small,1,False,True,4232.0,2511.0,-40.67,20229,1090.59,1366,4887,1366,-957.5,45.67,22.67,-50.36,205,12.43,16,52,16,-5.5,2.33,1.33,-42.86,11,0.69,1,3,1,0.0,4.33,2.33,-46.15,20,1.25,1,5,1,-1.0,True,True,True,True,False,False,False,False,False,False,40,4,v3.2.0,14,5,3,5,1,5,2,3,6,54.1,94.7,10,3,2.0,True,True,True,True,0,False,0.0,True,True,detractor,True,False,False,True,True,False,,30,True,1,5,0,2,"Sanity, Strapi",1,negative,True,False,False,True,False,True,0,v3.2.0,critical,0,True,True,True,2,True,1,True,False,False
1003,Meridian Health,193000.0,2026-06-12,Growth,Media & Publishing,David Kim,LATAM,58,approaching,mid_market,2,False,True,23951.33,15100.33,-36.95,117155,5092.75,13350,26973,16451,475.5,178.0,119.67,-32.77,893,38.12,103,201,137,9.0,10.33,7.33,-29.03,53,1.95,7,12,7,-0.5,25.33,16.33,-35.53,125,5.01,14,27,14,-0.5,True,True,True,True,False,False,False,False,False,False,40,4,v3.1.2,8,1,3,3,1,5,2,1,4,50.0,74.3,5,1,0.67,True,True,True,False,30,False,8.0,True,True,passive,False,True,False,False,False,False,,80,True,1,3,0,0,,1,negative,True,False,False,False,False,False,0,v3.1.2,critical,0,True,True,True,1,True,1,False,True,False
1004,Pinnacle Media Group,203000.0,2026-05-10,Scale,Travel & Hospitality,Raj Patel,EMEA,25,urgent,growth,3,False,True,69160.0,47424.33,-31.43,349753,14653.2,33615,82943,33615,-10917.5,466.67,330.33,-29.21,2391,97.82,213,518,213,-96.0,28.33,18.67,-34.12,141,5.82,14,31,14,-4.0,73.67,62.67,-14.93,409,17.74,36,90,36,-24.0,True,True,True,False,False,False,False,False,False,False,55,3,v3.4.1,7,2,2,2,1,2,3,2,2,69.3,115.7,1,0,-1.67,True,True,True,True,0,False,6.0,True,True,detractor,True,False,False,False,False,False,,60,True,1,3,0,1,Contentful,1,negative,False,True,True,True,False,False,0,v3.4.1,critical,0,True,True,True,0,False,0,False,False,False
1005,Vanguard Retail,106000.0,2026-06-02,Growth,Financial Services,James Okafor,APAC,48,approaching,mid_market,2,False,True,23676.67,12191.0,-48.51,107603,6779.06,7557,28164,7557,-3455.0,201.33,92.33,-54.14,881,61.24,53,230,53,-34.0,11.33,6.0,-47.06,52,2.98,4,13,4,-1.5,26.67,15.67,-41.25,127,6.52,10,30,10,-4.5,True,True,True,True,False,False,False,False,False,False,40,4,v3.2.0,8,2,5,1,0,2,3,1,4,51.4,105.9,2,1,-1.33,True,True,True,True,15,False,2.0,True,True,detractor,True,False,False,True,True,False,,30,True,1,3,0,0,,2,negative,False,False,False,False,False,False,1,v3.2.0,critical,0,True,True,True,2,True,1,True,False,False
1006,Atlas Financial,39000.0,2026-06-03,Starter,Government,Emily Watson,NA-East,49,approaching,small,1,False,True,4133.67,2932.33,-29.06,21198,824.05,2357,4829,2357,-724.5,46.0,29.67,-35.51,227,10.22,26,56,26,-4.5,2.33,1.33,-42.86,11,0.69,1,3,1,-0.5,4.0,2.33,-41.67,19,1.07,2,5,2,-0.5,True,True,True,True,False,False,False,False,False,False,40,4,v3.4.1,8,4,1,3,0,4,1,2,3,59.0,100.7,5,3,0.67,True,True,True,True,0,False,8.0,True,True,passive,False,True,False,False,False,False,,80,True,1,4,0,0,,2,negative,True,False,False,False,True,True,0,v3.4.1,critical,0,True,True,True,1,True,1,False,True,False
1007,Zenith Publishing,1625000.0,2026-05-05,Enterprise,Travel & Hospitality,James Okafor,LATAM,20,urgent,enterprise,4,False,True,166686.67,107143.67,-35.72,821491,38849.45,79123,207047,79123,-24551.0,1064.33,645.0,-39.4,5128,281.67,424,1288,424,-148.5,68.67,44.0,-35.92,338,14.44,32,74,32,-10.0,188.0,148.33,-21.1,1009,36.96,97,222,97,-41.0,True,True,True,False,False,False,False,False,False,False,55,3,v3.1.2,6,2,1,2,1,3,0,0,1,40.5,82.1,1,0,-1.33,False,False,True,False,75,False,,False,False,no_response,False,False,False,False,False,False,,50,True,1,4,0,1,Kontent.ai,0,negative,False,False,True,True,False,False,0,v3.1.2,critical,0,True,True,True,0,False,0,False,False,False
1008,Crescent Labs,390000.0,2026-07-02,Scale,Media & Publishing,James Okafor,NA-East,78,upcoming,growth,3,False,True,70068.33,71724.67,2.36,425379,4911.94,64213,76442,76442,6114.5,490.67,427.33,-12.91,2754,69.38,370,580,464,8.0,33.67,31.67,-5.94,196,2.75,29,36,31,-2.0,89.0,89.67,0.75,536,7.36,79,103,103,12.0,False,False,False,False,False,False,False,False,False,False,100,0,v4.1.0,3,1,1,1,0,0,0,0,0,18.9,31.5,3,1,0.0,False,False,True,True,70,False,5.0,True,True,detractor,True,False,False,False,False,False,,50,True,1,3,0,0,,2,negative,True,False,True,True,True,False,0,v4.1.0,high,20,False,True,False,0,False,0,False,False,False
1009,Orion Education,126000.0,2026-04-30,Growth,Media & Publishing,James Okafor,APAC,15,critical,mid_market,2,False,True,23010.67,20145.67,-12.45,129469,2809.22,18071,27068,20197,-986.0,194.0,199.67,2.92,1181,25.41,148,224,202,-6.5,11.0,10.0,-9.09,63,0.96,9,12,11,0.5,24.0,26.33,9.72,151,2.61,22,30,30,2.0,False,False,False,False,False,False,False,False,False,False,100,0,v4.0.0,3,0,1,0,2,0,0,0,0,31.7,39.9,2,0,0.33,False,False,True,False,85,False,8.0,True,True,passive,False,True,False,False,False,False,,80,True,1,4,0,1,WordPress,2,negative,True,False,False,True,False,False,0,v4.0.0,high,20,False,True,False,1,True,1,False,True,False
