account_id,changelog_impacts,changelog_impact_count,critical_impacts,high_impacts,has_deadline_pressure,changelog_risk_score
1000,"[{'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""CSM notes mention 'engine'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""CSM notes mention 'editor'""]}, {'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}, {'changelog_item': 'Fixed: Locale fallback returning null for entries with circular references', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'locale'""]}]",4,1,2,True,80
1001,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'publish'""]}, {'changelog_item': 'Fixed: SSO SAML assertion parsing for certain IdP configurations', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'sso'""]}]",6,1,3,True,100
1002,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""CSM notes mention 'migration'""]}, {'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'bulk'""]}]",6,2,3,True,100
1003,"[{'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'bulk'""]}, {'changelog_item': 'Fixed: SSO SAML assertion parsing for certain IdP configurations', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'sso'""]}]",3,1,0,False,50
1004,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Fixed: Locale fallback returning null for entries with circular references', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'locale'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'bulk'""]}]",6,1,3,True,100
1005,"[{'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Breaking change: SDK v4.2.0+ changes the response envelope format', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Update to response.data from response.entry', 'match_reasons': [""Account has ticket related to 'sdk'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'bulk'""]}]",4,1,2,True,80
1006,"[{'changelog_item': 'REST Content Delivery API v2 endpoints will be sunset', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-03-31', 'action_required': 'Migrate to v4.x before March 31, 2026. See migration guide: docs.contentstack.com/migration/v3-to-v4', 'match_reasons': [""Account has ticket related to 'migration'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""Account has ticket related to 'editor'""]}, {'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}, {'changelog_item': 'Fixed: Locale fallback returning null for entries with circular references', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'locale'""]}]",4,1,2,True,80
1007,"[{'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Legacy editor will be fully removed', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-05-00', 'action_required': 'Migrate to the new editor. Migration tool available at: tools.contentstack.com/editor-migration', 'match_reasons': [""CSM notes mention 'editor'""]}, {'changelog_item': 'Webhook payload format v2 is now the default', 'category': 'breaking_change', 'severity': 'critical', 'deadline': 'null', 'action_required': 'Explicitly request v1 payloads via header X-Webhook-Version: 1', 'match_reasons': [""Account has ticket related to 'webhook'""]}, {'changelog_item': 'Fixed: Bulk publish timeout for libraries with >10,000 entries', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'publish'""]}]",4,1,2,True,80
1008,[],0,0,0,False,0
1009,"[{'changelog_item': 'Legacy Workflow Engine (v1) is now deprecated', 'category': 'deprecation', 'severity': 'high', 'deadline': '2026-02-28', 'action_required': 'Existing workflows will continue to function but cannot be edited after February 28, 2026', 'match_reasons': [""Account has ticket related to 'workflow'""]}, {'changelog_item': 'Fixed: Locale fallback returning null for entries with circular references', 'category': 'bug_fix', 'severity': 'medium', 'deadline': 'null', 'action_required': 'null', 'match_reasons': [""Account has ticket related to 'locale'""]}]",2,0,1,True,30
