account_id,silent_churn_patterns,silent_churn_pattern_count,silent_churn_risk,silent_churn_score,recommended_investigation
1000,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""API calls trend: -38.8% change, Content creation trend: -44.4% change, Active users trend: -50.0% change, Active users (recent avg): 1.0, Workflows trend: -45.5% change"", ""why_non_obvious"": ""Simple rule-based systems might not catch this pattern as the account still has a positive NPS score and has not explicitly mentioned dissatisfaction."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""SDK version: unknown, Workflows trend: -45.5% change, Workflow abandoned: False"", ""why_non_obvious"": ""A simple rule-based system might not detect this pattern as the account still has a positive NPS score and has not explicitly mentioned dissatisfaction."", ""risk_contribution"": 0.2}, {""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""low"", ""evidence"": ""CSM SIGNALS: Competitors mentioned: Hygraph, CSM NOTE SUMMARIES: They're frustrated with the new editor and might be evaluating alternative solutions"", ""why_non_obvious"": ""This pattern is not immediately obvious as the account still has a positive NPS score and has not explicitly mentioned dissatisfaction."", ""risk_contribution"": 0.1}]",3,high,1.1,"Investigate the reasons behind the decline in usage and the frustration with the new editor. Also, explore the possibility of alternative solutions being evaluated by the customer."
1001,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High NPS score (8) and positive sentiment from CSM, but declining usage signals (API calls trend: -37.6%, Content creation trend: -29.7%, Active users trend: -33.3%)"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it relies on surface-level metrics (NPS score and sentiment) and doesn't account for the decline in usage."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""Unknown SDK version and no adoption of new features"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for the lack of feature adoption and SDK updates."", ""risk_contribution"": 0.2}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""Only 1.3 active users on average"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for the small number of active users."", ""risk_contribution"": 0.1}, {""pattern_name"": ""ORGANIZATIONAL CHANGE"", ""confidence"": ""low"", ""evidence"": ""CTO-led CMS evaluation project and budget cut"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for organizational changes and their impact on the account."", ""risk_contribution"": 0.1}]",4,high,1.2000000000000002,"Investigate the decline in usage and the impact of the CMS evaluation project on the account. Also, assess the account's readiness for potential churn due to the budget cut and organizational changes."
1002,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""API calls trend: -40.7% change, Content creation trend: -50.4% change, Active users trend: -42.9% change, Active users (recent avg): 1.3, Workflows trend: -46.1% change"", ""why_non_obvious"": ""Simple rule-based systems might focus on NPS score, but this account's NPS score is 0, indicating a detractor, and the CSM's sentiment is negative, suggesting a deeper issue."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""SDK version: unknown, Workflows trend: -46.1% change, Workflow abandoned: False"", ""why_non_obvious"": ""The account is not utilizing the latest SDK version, and the workflows trend is declining, indicating a lack of adoption of new features."", ""risk_contribution"": 0.4}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""Active users (recent avg): 1.3"", ""why_non_obvious"": ""The account has a low number of active users, making it vulnerable to churn if the champion leaves."", ""risk_contribution"": 0.2}]",3,high,1.4000000000000001,"Investigate the root cause of the declining usage and workflows trend. Review the CSM's notes and sentiment to understand the account's concerns. Evaluate the account's potential for migration to alternative platforms mentioned by the CSM (Sanity, Strapi)."
1003,"[{""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""high"", ""evidence"": ""Custom middleware layer and moving content to a homegrown solution (CSM Note Summary)"", ""why_non_obvious"": ""Simple rule-based systems would not detect this pattern as it requires analysis of both NPS score and usage trends."", ""risk_contribution"": 0.8}, {""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""medium"", ""evidence"": ""High NPS score (8) but significant decrease in usage (-37.0% API calls, -32.8% content creation, -29.0% active users, -35.5% workflows)"", ""why_non_obvious"": ""Traditional rule-based systems might focus on NPS score alone, missing the decline in usage."", ""risk_contribution"": 0.4}]",2,high,1.2000000000000002,"Investigate the custom middleware layer and homegrown solution, discuss with the customer about their plans and assess the impact on the account."
1004,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High NPS score (6) and positive sentiment from CSM, but declining usage signals (API calls trend: -31.4%, Content creation trend: -29.2%, Active users trend: -34.1%)"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it relies on surface-level metrics (NPS and sentiment) and doesn't account for the decline in usage."", ""risk_contribution"": 0.8}, {""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""medium"", ""evidence"": ""Mention of competitor Contentful in CSM signals and missed meetings with the CSM, indicating potential interest in alternative solutions"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for subtle signals of competitor interest and potential dissatisfaction."", ""risk_contribution"": 0.4}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""low"", ""evidence"": ""Unknown SDK version and no adoption of new features"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it relies on explicit signals of stagnation (e.g., no upgrades or feature adoption) rather than subtle indicators of disengagement."", ""risk_contribution"": 0.1}]",3,high,1.3000000000000003,"Investigate the impact of the mid-cycle price increase on the customer's usage and satisfaction, and assess the potential risk of losing the account to a competitor like Contentful."
1005,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""Stopped filing tickets, stopped engaging, usage flat or declining (Total tickets: 8, Has blocking tickets: True, API calls trend: -48.5% change, Active users trend: -47.1% change)"", ""why_non_obvious"": ""A simple rule-based system might miss this pattern because it relies on a single metric (e.g., NPS score) or a specific threshold (e.g., number of tickets). However, this account shows a combination of declining usage and lack of engagement, indicating a higher risk of silent churn."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""Never upgraded SDK, never adopted new features (SDK version: unknown)"", ""why_non_obvious"": ""A simple rule-based system might miss this pattern because it focuses on recent activity rather than long-term adoption. However, this account's unknown SDK version suggests a lack of investment in the platform, increasing the risk of silent churn."", ""risk_contribution"": 0.4}]",2,high,1.2000000000000002,Investigate the root cause of the declining usage and lack of engagement. Review the CSM note summaries for additional context. Consider reaching out to the ops manager to understand their concerns and potential alternatives.
1006,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""API calls trend: -29.1% change, Content creation trend: -35.5% change, Active users trend: -42.9% change, Active users (recent avg): 1.3"", ""why_non_obvious"": ""Simple rule-based systems might focus on NPS score, but this account's declining usage and low active users indicate a lack of engagement."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""SDK version: unknown, Workflows trend: -41.7% change, Workflow abandoned: False"", ""why_non_obvious"": ""The unknown SDK version and lack of adoption of new features suggest the account may not be utilizing the platform to its full potential."", ""risk_contribution"": 0.4}, {""pattern_name"": ""COMPLIANCE CLIFF"", ""confidence"": ""low"", ""evidence"": ""CSM NOTE SUMMARIES: Quarterly business review went poorly due to concerns about SOC 2 audit timeline, single-tenancy options, and deprecated endpoints."", ""why_non_obvious"": ""While the CSM notes indicate compliance concerns, there is no clear indication that the vendor cannot meet these requirements."", ""risk_contribution"": 0.2}]",3,high,1.4000000000000001,"Investigate the account's declining usage and low active users, discuss potential platform stagnation, and assess the compliance concerns raised in the CSM notes."
1007,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High ARR ($1,625,000), Enterprise plan, and recent renewal conversation started. However, Zenith Publishing is demanding a 30% discount, indicating they are unhappy with the current pricing."", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it focuses on surface-level metrics like ARR and plan, but doesn't account for the customer's perception of value."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""Unknown SDK version, indicating Zenith Publishing may not be taking advantage of new features or updates."", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't track SDK version updates or feature adoption."", ""risk_contribution"": 0.2}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""44 active users (recent avg), which is a relatively high number, but still a single point of failure if the champions leave."", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for the number of active users or the potential impact of losing key users."", ""risk_contribution"": 0.1}]",3,high,1.1,"Investigate the renewal conversation and pricing concerns with Zenith Publishing. Also, review the SDK version and feature adoption to ensure they are taking advantage of the platform's capabilities."
1008,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""NPS score of 5, stable usage but not growing, executive involvement, and budget concerns"", ""why_non_obvious"": ""The account team may be misled by the high NPS score and stable usage, but the lack of growth and executive involvement indicate potential churn."", ""risk_contribution"": 0.8}, {""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""medium"", ""evidence"": ""Request for ROI report, case studies in biotech vertical, and competitors mentioned by CSM"", ""why_non_obvious"": ""The customer is actively seeking alternative solutions, but the account team may not be aware of this due to the high NPS score."", ""risk_contribution"": 0.4}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""Only 31.7 active users on average, but no clear indication of a single champion leaving"", ""why_non_obvious"": ""The account team may not be aware of the potential risk of a single champion leaving, but the low confidence level indicates this is a less likely scenario."", ""risk_contribution"": 0.1}]",3,high,1.3000000000000003,"Investigate the customer's ROI requirements, provide case studies in the biotech vertical, and assess the impact of executive involvement on the account's renewal decision."
1009,"[{""pattern_name"": ""ORGANIZATIONAL CHANGE"", ""confidence"": ""high"", ""evidence"": ""Account is merging with another ed-tech company, leaving unclear which platform will survive. Decision expected by May."", ""why_non_obvious"": ""A simple rule-based system might not capture the nuances of an organizational change, especially when it involves a merger."", ""risk_contribution"": 0.8}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""medium"", ""evidence"": ""Executive involvement is high, and the champion (Director of Content) is nervous about her role post-merger."", ""why_non_obvious"": ""A simple rule-based system might not account for the impact of a single champion's departure or change in role on the overall account health."", ""risk_contribution"": 0.4}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""low"", ""evidence"": ""SDK version is unknown, indicating potential lack of adoption of new features."", ""why_non_obvious"": ""A simple rule-based system might not capture the subtleties of feature adoption and SDK versioning."", ""risk_contribution"": 0.1}]",3,high,1.3000000000000003,"Investigate the impact of the organizational change on the account's future plans and the champion's role. Also, assess the account's feature adoption and SDK versioning to identify potential stagnation risks."
