account_id,account_name,arr,plan_tier,industry,region,csm_name,contract_end_date,days_until_renewal,renewal_urgency,quantitative_score,qualitative_adjustment,conflict_adjustment,final_risk_score,risk_tier,confidence,usage_health,support_health,nps_health,csm_health,sdk_health,nps_score,nps_category,relationship_health,executive_attention,risk_factors,recommended_actions,qualitative_factors,conflict_notes,silent_churn_patterns,csm_summaries,competitors
1002,NovaTech Industries,29000.0,Starter,Manufacturing,LATAM,Sarah Chen,2026-05-19 00:00:00,34,approaching,88.1,12,8,100.0,High,medium,40.0,0.0,30.0,0.0,0.0,0.0,detractor,critical,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""high"", ""score_impact"": 8.0, ""detail"": ""Changelog risk: 100/100""}, {""factor"": ""Support Issues"", ""severity"": ""high"", ""score_impact"": 7.5, ""detail"": ""Support Issues health score: 0/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": 2.5, ""detail"": ""Usage Decline health score: 40/100""}, {""factor"": ""NPS Score"", ""severity"": ""medium"", ""score_impact"": 2.0, ""detail"": ""NPS health score: 30/100""}]","[""Competitor threat (Sanity, Strapi): Prepare competitive battle card and schedule value demonstration."", ""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""3 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""CSM Sentiment"", ""Product Change Impact"", ""Support Issues"", ""SDK/Platform Risk""]",NPS score contradicts comment — trusting more negative signal. | Generic NPS comment with extreme score — low reliability.,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""API calls trend: -40.7% change, Content creation trend: -50.4% change, Active users trend: -42.9% change, Active users (recent avg): 1.3, Workflows trend: -46.1% change"", ""why_non_obvious"": ""Simple rule-based systems might focus on NPS score, but this account's NPS score is 0, indicating a detractor, and the CSM's sentiment is negative, suggesting a deeper issue."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""SDK version: unknown, Workflows trend: -46.1% change, Workflow abandoned: False"", ""why_non_obvious"": ""The account is not utilizing the latest SDK version, and the workflows trend is declining, indicating a lack of adoption of new features."", ""risk_contribution"": 0.4}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""Active users (recent avg): 1.3"", ""why_non_obvious"": ""The account has a low number of active users, making it vulnerable to churn if the champion leaves."", ""risk_contribution"": 0.2}]","[""Extremely tense call with NovaTech Industries due to 4 P1 tickets related to v3 SDK deprecation, requiring a migration path with no timeline provided.""]","Sanity, Strapi"
1004,Pinnacle Media Group,203000.0,Scale,Travel & Hospitality,EMEA,Raj Patel,2026-05-10 00:00:00,25,urgent,92.4,12,0,100.0,High,high,55.0,0.0,60.0,0.0,0.0,6.0,detractor,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""high"", ""score_impact"": 8.0, ""detail"": ""Changelog risk: 100/100""}, {""factor"": ""Support Issues"", ""severity"": ""high"", ""score_impact"": 7.5, ""detail"": ""Support Issues health score: 0/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": -1.2, ""detail"": ""Usage Decline health score: 55/100""}]","[""Schedule renewal conversation this week. Involve sales leadership."", ""Competitor threat (Contentful): Prepare competitive battle card and schedule value demonstration."", ""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""2 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Budget concerns flagged: Prepare flexible pricing options. Consider multi-year discount."", ""Executive attention needed: Loop in VP of CS or CRO."", ""Multiple missed meetings: Try alternative contacts. Primary contact may have changed roles.""]","[""CSM Sentiment"", ""Support Issues"", ""Missed QBRs"", ""Threat to switch to Contentful""]",No conflicts to resolve,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High NPS score (6) and positive sentiment from CSM, but declining usage signals (API calls trend: -31.4%, Content creation trend: -29.2%, Active users trend: -34.1%)"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it relies on surface-level metrics (NPS and sentiment) and doesn't account for the decline in usage."", ""risk_contribution"": 0.8}, {""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""medium"", ""evidence"": ""Mention of competitor Contentful in CSM signals and missed meetings with the CSM, indicating potential interest in alternative solutions"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for subtle signals of competitor interest and potential dissatisfaction."", ""risk_contribution"": 0.4}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""low"", ""evidence"": ""Unknown SDK version and no adoption of new features"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it relies on explicit signals of stagnation (e.g., no upgrades or feature adoption) rather than subtle indicators of disengagement."", ""risk_contribution"": 0.1}]","[""Pinacle Media is experiencing issues with the billing team due to a mid-cycle price increase, and has threatened to switch to Contentful. They have also missed two QBRs in a row.""]",Contentful
1005,Vanguard Retail,106000.0,Growth,Financial Services,APAC,James Okafor,2026-06-02 00:00:00,48,approaching,79.8,12,8,99.8,High,medium,40.0,15.0,30.0,1.0,0.0,2.0,detractor,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.2, ""detail"": ""CSM Sentiment health score: 1/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""high"", ""score_impact"": 6.4, ""detail"": ""Changelog risk: 80/100""}, {""factor"": ""Support Issues"", ""severity"": ""high"", ""score_impact"": 5.2, ""detail"": ""Support Issues health score: 15/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": 2.5, ""detail"": ""Usage Decline health score: 40/100""}, {""factor"": ""NPS Score"", ""severity"": ""medium"", ""score_impact"": 2.0, ""detail"": ""NPS health score: 30/100""}]","[""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""1 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""CSM Sentiment"", ""Support Issues"", ""SDK/Platform Risk"", ""Silent Churn Patterns""]",NPS score contradicts comment — trusting more negative signal. | Generic NPS comment with extreme score — low reliability.,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""Stopped filing tickets, stopped engaging, usage flat or declining (Total tickets: 8, Has blocking tickets: True, API calls trend: -48.5% change, Active users trend: -47.1% change)"", ""why_non_obvious"": ""A simple rule-based system might miss this pattern because it relies on a single metric (e.g., NPS score) or a specific threshold (e.g., number of tickets). However, this account shows a combination of declining usage and lack of engagement, indicating a higher risk of silent churn."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""Never upgraded SDK, never adopted new features (SDK version: unknown)"", ""why_non_obvious"": ""A simple rule-based system might miss this pattern because it focuses on recent activity rather than long-term adoption. However, this account's unknown SDK version suggests a lack of investment in the platform, increasing the risk of silent churn."", ""risk_contribution"": 0.4}]","[""Vanguard Retail has stopped using workflows due to the Feb update breaking their automation, and the ops manager has lost faith in the roadmap after a ticket has been open for 6 weeks.""]",
1001,BrightPath Solutions,21000.0,Starter,Travel & Hospitality,NA-East,Sarah Chen,2026-07-04 00:00:00,80,upcoming,77.1,12,8,97.1,High,high,40.0,0.0,60.0,0.0,0.0,8.0,passive,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""high"", ""score_impact"": 8.0, ""detail"": ""Changelog risk: 100/100""}, {""factor"": ""Support Issues"", ""severity"": ""high"", ""score_impact"": 7.5, ""detail"": ""Support Issues health score: 0/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": 2.5, ""detail"": ""Usage Decline health score: 40/100""}]","[""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""6 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Budget concerns flagged: Prepare flexible pricing options. Consider multi-year discount."", ""Executive attention needed: Loop in VP of CS or CRO."", ""Multiple missed meetings: Try alternative contacts. Primary contact may have changed roles.""]","[""CSM Sentiment"", ""NPS_vs_CSM_Sentiment""]",NPS and CSM sentiment disagree — trusting CSM notes.,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High NPS score (8) and positive sentiment from CSM, but declining usage signals (API calls trend: -37.6%, Content creation trend: -29.7%, Active users trend: -33.3%)"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it relies on surface-level metrics (NPS score and sentiment) and doesn't account for the decline in usage."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""Unknown SDK version and no adoption of new features"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for the lack of feature adoption and SDK updates."", ""risk_contribution"": 0.2}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""Only 1.3 active users on average"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for the small number of active users."", ""risk_contribution"": 0.1}, {""pattern_name"": ""ORGANIZATIONAL CHANGE"", ""confidence"": ""low"", ""evidence"": ""CTO-led CMS evaluation project and budget cut"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for organizational changes and their impact on the account."", ""risk_contribution"": 0.1}]","[""BritePath Solutions had a no show for the third time this quarter, citing a CMS evaluation project led by their CTO. Additionally, their budget was cut 20% across all SaaS vendors.""]",
1007,Zenith Publishing,1625000.0,Enterprise,Travel & Hospitality,LATAM,James Okafor,2026-05-05 00:00:00,20,urgent,84.8,12,0,96.8,High,high,55.0,75.0,50.0,0.0,0.0,,no_response,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""high"", ""score_impact"": 6.4, ""detail"": ""Changelog risk: 80/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": -1.2, ""detail"": ""Usage Decline health score: 55/100""}]","[""Schedule renewal conversation this week. Involve sales leadership."", ""Competitor threat (Kontent.ai): Prepare competitive battle card and schedule value demonstration."", ""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""Budget concerns flagged: Prepare flexible pricing options. Consider multi-year discount."", ""Executive attention needed: Loop in VP of CS or CRO."", ""No NPS response — account may be disengaged. Reach out for informal check-in before formal renewal.""]","[""CSM Sentiment"", ""SDK/Platform Risk""]",No conflicts to resolve,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High ARR ($1,625,000), Enterprise plan, and recent renewal conversation started. However, Zenith Publishing is demanding a 30% discount, indicating they are unhappy with the current pricing."", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it focuses on surface-level metrics like ARR and plan, but doesn't account for the customer's perception of value."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""Unknown SDK version, indicating Zenith Publishing may not be taking advantage of new features or updates."", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't track SDK version updates or feature adoption."", ""risk_contribution"": 0.2}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""low"", ""evidence"": ""44 active users (recent avg), which is a relatively high number, but still a single point of failure if the champions leave."", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for the number of active users or the potential impact of losing key users."", ""risk_contribution"": 0.1}]","[""Renewal conversation started with Zenith Publishing, who are demanding a 30% discount or they will leave. Current ARR is high but margin is thin, and they are experiencing pain points with Editor performance on their 50k+ entry library.""]",Kontent.ai
1006,Atlas Financial,39000.0,Starter,Government,NA-East,Emily Watson,2026-06-03 00:00:00,49,approaching,73.5,12,8,93.5,High,high,40.0,0.0,80.0,0.0,0.0,8.0,passive,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Support Issues"", ""severity"": ""high"", ""score_impact"": 7.5, ""detail"": ""Support Issues health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""high"", ""score_impact"": 6.4, ""detail"": ""Changelog risk: 80/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": 2.5, ""detail"": ""Usage Decline health score: 40/100""}]","[""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""2 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Compliance blocker: Fast-track security questionnaire. Engage compliance team immediately."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""CSM Sentiment"", ""Support Issues"", ""CSM Notes""]",NPS and CSM sentiment disagree — trusting CSM notes.,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""API calls trend: -29.1% change, Content creation trend: -35.5% change, Active users trend: -42.9% change, Active users (recent avg): 1.3"", ""why_non_obvious"": ""Simple rule-based systems might focus on NPS score, but this account's declining usage and low active users indicate a lack of engagement."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""SDK version: unknown, Workflows trend: -41.7% change, Workflow abandoned: False"", ""why_non_obvious"": ""The unknown SDK version and lack of adoption of new features suggest the account may not be utilizing the platform to its full potential."", ""risk_contribution"": 0.4}, {""pattern_name"": ""COMPLIANCE CLIFF"", ""confidence"": ""low"", ""evidence"": ""CSM NOTE SUMMARIES: Quarterly business review went poorly due to concerns about SOC 2 audit timeline, single-tenancy options, and deprecated endpoints."", ""why_non_obvious"": ""While the CSM notes indicate compliance concerns, there is no clear indication that the vendor cannot meet these requirements."", ""risk_contribution"": 0.2}]","[""Quarterly business review went poorly due to concerns about SOC 2 audit timeline, single-tenancy options, and deprecated endpoints.""]",
1003,Meridian Health,193000.0,Growth,Media & Publishing,LATAM,David Kim,2026-06-12 00:00:00,58,approaching,69.9,10,8,87.9,High,high,40.0,30.0,80.0,0.0,0.0,8.0,passive,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 5.0, ""detail"": ""SDK health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""medium"", ""score_impact"": 4.0, ""detail"": ""Changelog risk: 50/100""}, {""factor"": ""Support Issues"", ""severity"": ""high"", ""score_impact"": 3.0, ""detail"": ""Support Issues health score: 30/100""}, {""factor"": ""Usage Decline"", ""severity"": ""medium"", ""score_impact"": 2.5, ""detail"": ""Usage Decline health score: 40/100""}]","[""SDK v3.x sunset approaching: Offer dedicated SA migration support."", ""1 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""CSM Sentiment"", ""SDK/Platform Risk"", ""Silent Churn Patterns""]",NPS and CSM sentiment disagree — trusting CSM notes.,"[{""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""high"", ""evidence"": ""Custom middleware layer and moving content to a homegrown solution (CSM Note Summary)"", ""why_non_obvious"": ""Simple rule-based systems would not detect this pattern as it requires analysis of both NPS score and usage trends."", ""risk_contribution"": 0.8}, {""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""medium"", ""evidence"": ""High NPS score (8) but significant decrease in usage (-37.0% API calls, -32.8% content creation, -29.0% active users, -35.5% workflows)"", ""why_non_obvious"": ""Traditional rule-based systems might focus on NPS score alone, missing the decline in usage."", ""risk_contribution"": 0.4}]","[""Meridian Health's NPS score came back at 8, but their actual usage has significantly decreased due to them building a custom middleware layer and moving content to a homegrown solution, indicating a silent churn pattern.""]",
1013,RedLeaf Healthcare,135000.0,Growth,Media & Publishing,EMEA,Sarah Chen,2026-04-27 00:00:00,12,critical,62.2,10,8,80.2,High,high,100.0,50.0,90.0,0.0,20.0,9.0,promoter,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""medium"", ""score_impact"": 4.0, ""detail"": ""Changelog risk: 50/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 3.0, ""detail"": ""SDK health score: 20/100""}, {""factor"": ""Support Issues"", ""severity"": ""medium"", ""score_impact"": 0.0, ""detail"": ""Support Issues health score: 50/100""}]","[""URGENT: Renewal in 12 days. Schedule executive-level call this week."", ""1 open P1 ticket(s): Escalate to engineering. Resolve before renewal conversation."", ""Compliance blocker: Fast-track security questionnaire. Engage compliance team immediately."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""CSM Sentiment"", ""NPS vs CSM Sentiment""]",NPS and CSM sentiment disagree — trusting CSM notes.,"[{""pattern_name"": ""GONE QUIET"", ""confidence"": ""high"", ""evidence"": ""API calls trend: -14.2% change, Content creation trend: -18.5% change, Active users trend: -12.1% change, and Active users (recent avg): 9.7"", ""why_non_obvious"": ""Simple rule-based systems might focus on NPS score (9) and ignore declining usage signals."", ""risk_contribution"": 0.8}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""medium"", ""evidence"": ""SDK version: unknown, and no recent SDK upgrades"", ""why_non_obvious"": ""A simple rule-based system might not consider the lack of SDK upgrades as a red flag."", ""risk_contribution"": 0.2}]","[""Compliance audit coming up for RedLeaf Healthcare, requiring a vendor security questionnaire to be completed by May 15 to avoid non-renewal due to company policy.""]",
1014,BluePeak Software,1061000.0,Enterprise,Media & Publishing,NA-West,Raj Patel,2026-04-28 00:00:00,13,critical,58.8,12,8,78.8,High,high,100.0,80.0,100.0,0.0,20.0,10.0,promoter,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""Product Change Impact"", ""severity"": ""medium"", ""score_impact"": 3.2, ""detail"": ""Changelog risk: 40/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 3.0, ""detail"": ""SDK health score: 20/100""}]","[""URGENT: Renewal in 13 days. Schedule executive-level call this week."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""CSM Sentiment"", ""DATA SOURCE CONFLICTS""]",NPS and CSM sentiment disagree — trusting CSM notes.,"[{""pattern_name"": ""HAPPY BUT LEAVING"", ""confidence"": ""high"", ""evidence"": ""High NPS score (10) and positive sentiment from CSM, but declining usage signals (API calls trend: -6.2%, Content creation trend: -13.6%, Active users trend: -8.8%)"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it focuses on surface-level metrics (e.g., NPS score) and ignores underlying usage trends."", ""risk_contribution"": 0.8}, {""pattern_name"": ""BUILDING ALTERNATIVES"", ""confidence"": ""medium"", ""evidence"": ""Has deprecation tickets (True) and CSM mentions competitors, indicating potential exploration of alternative solutions"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't account for subtle signals like deprecation tickets and competitor mentions."", ""risk_contribution"": 0.4}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""low"", ""evidence"": ""Unknown SDK version and no recent upgrades or new feature adoption"", ""why_non_obvious"": ""A simple rule-based system would miss this pattern because it doesn't track platform stagnation or lack of innovation."", ""risk_contribution"": 0.2}]","[""bluepeak software is on the fence about renewing due to issues with the management console UI, which their VP of Product finds embarrassing to demo.""]",
1009,Orion Education,126000.0,Growth,Media & Publishing,APAC,James Okafor,2026-04-30 00:00:00,15,critical,54.2,12,8,74.2,High,high,100.0,85.0,80.0,0.0,20.0,8.0,passive,strained,True,"[{""factor"": ""CSM Sentiment"", ""severity"": ""high"", ""score_impact"": 12.5, ""detail"": ""CSM Sentiment health score: 0/100""}, {""factor"": ""SDK/Platform Risk"", ""severity"": ""critical"", ""score_impact"": 3.0, ""detail"": ""SDK health score: 20/100""}]","[""URGENT: Renewal in 15 days. Schedule executive-level call this week."", ""Competitor threat (WordPress): Prepare competitive battle card and schedule value demonstration."", ""Executive attention needed: Loop in VP of CS or CRO.""]","[""ORGANIZATIONAL CHANGE"", ""CHAMPION DEPENDENCY"", ""PLATFORM STAGNATION""]",NPS and CSM sentiment disagree — trusting CSM notes.,"[{""pattern_name"": ""ORGANIZATIONAL CHANGE"", ""confidence"": ""high"", ""evidence"": ""Account is merging with another ed-tech company, leaving unclear which platform will survive. Decision expected by May."", ""why_non_obvious"": ""A simple rule-based system might not capture the nuances of an organizational change, especially when it involves a merger."", ""risk_contribution"": 0.8}, {""pattern_name"": ""CHAMPION DEPENDENCY"", ""confidence"": ""medium"", ""evidence"": ""Executive involvement is high, and the champion (Director of Content) is nervous about her role post-merger."", ""why_non_obvious"": ""A simple rule-based system might not account for the impact of a single champion's departure or change in role on the overall account health."", ""risk_contribution"": 0.4}, {""pattern_name"": ""PLATFORM STAGNATION"", ""confidence"": ""low"", ""evidence"": ""SDK version is unknown, indicating potential lack of adoption of new features."", ""why_non_obvious"": ""A simple rule-based system might not capture the subtleties of feature adoption and SDK versioning."", ""risk_contribution"": 0.1}]","[""Orion Education is merging with another ed-tech company that uses WordPress, leaving unclear which platform will survive. Decision expected by May, with their champion (Director of Content) nervous about her role post-merger.""]",WordPress
